id,name,country,price,count
274,Wzvpz,Gibraltar,8681.62,912
275,ICQNA,Slovakia,2043.54,469
276,UFNx,Somalia,4659.17,317
277,nDvMpk,Gibraltar,6731.58,689
278,Wc uDI,Norfolk Island,8652.04,748
279,wUGxOiYp,Uganda,6324.22,323
280,ZonheOsqd,Papua New Guinea,193.92,996
281,VbfgpLeKS,Falkland Islands (Malvinas),1125.35,948
282,QvSltEPPq,Netherlands,2477.13,250
283,jcWsh,United States,4951.02,721
284,NHXQtii,Luxembourg,5565.52,669
285,PzwgThEJ,Tonga,3622.15,747
286,fEscwQ,Panama,6547.09,123
287,jb  AYt,Nauru,4338.53,975
288,mgb QLXZ,Svalbard and Jan Mayen,3028.34,347
289,fow,Swaziland,1933.16,784
290,XHzh,Djibouti,9798.44,288
291,phljqkdiQ,El Salvador,3724.28,912
292,HeO,Lebanon,2733.13,899
293,WpRexlrVr,Saint Vincent and the Grenadines,9413.94,608
294,lNARzb,China,3246.04,3
295,fV,Heard Island and Mcdonald Islands,6600.31,439
296,nAKaMkid,Gambia,7119.87,859
297,Nm,Antarctica,6653.42,228
298,tu,France,3268.04,182
299,VgU,Montserrat,2501.17,973
300,FjEVDb,Lebanon,9914.48,735
301,vnVrMjsozL,Kiribati,9852.93,585
302,zoAjnrqw,Saint Vincent and the Grenadines,5639.73,362
303,sfWMpWT,Burkina Faso,9342.31,87
304,UxhWbNDDC,Mongolia,8804.43,959
305,tMXutVvg,Nicaragua,1667.72,777
306,VZrgG,Maldives,5715.28,588
307,ctyU ViI,Germany,9681.06,836
308,wgR,Argentina,5472.97,922
309,vcIdrwaL,Namibia,3448.23,120
310,KQkuRW,Switzerland,5140.39,282
311,DtfXQJLkt,Isle of Man,3358.32,304
312,OMAaqmcBE,Central African Republic,492.1,342
313,RuLCbeHO Z,Timor-Leste,4793.32,582
314,QFrQtRNg,New Zealand,8397.47,902
315,TShYbj,Sao Tome and Principe,7930.93,738
316,yvxgc,Faroe Islands,3621.88,490
317,akEw,Cyprus,7374.83,148
318,ExhQtn,Barbados,9319.49,45
319," aBkjF",Suriname,1233.97,105
320,awqKyzhrF,Azerbaijan,4367.15,882
321,yAQHOTkJ,Austria,1843.01,258
322,jjuGeM,Jamaica,4464.35,472
323,yFLL,Tunisia,4869.81,986
324,YNdXSsSD,Germany,5835.01,881
325,ql,Botswana,9733.54,728
326,QxmRJLd,Jamaica,5421.7,982
327,mD,Northern Mariana Islands,9089.78,104
328,XmXstrnlI,Haiti,9399.85,574
329,C m,Malaysia,6365.91,625
330,LEkpwWHFTg,Aruba,8883.54,167
331,dhqc,Mozambique,3757.1,721
332,SeHhU,Palau,703.12,309
333,jVl Kj,Philippines,1554.77,716
334,PSJVun,Dominica,4087.49,592
335,YqgxBlydFh,Niue,7301.97,560
336,zwAeBmfTZL,Niger,3788.87,809
337,Ixg,French Polynesia,8569.76,660
338,bE,Ghana,1109.2,79
339,UDgXl,Cayman Islands,391.4,493
340,"  eceu",Grenada,4703.42,220
341,sKwhLTir,Togo,7945.17,951
342,xbYabcfvtN,Netherlands Antilles,8331.72,229
343,pjJckONj,Honduras,8315.86,189
344,cGLi,Tokelau,6244.33,172
345,GnjvLu,Bangladesh,6512.92,318
346,xRNGQBxpIg,United Kingdom,7161.84,641
347,cFOLv,Botswana,7870.74,669
348,"mwl k ",Cyprus,5386.73,6
349,CuHU,Fiji,7418.78,775
350,NEKQGn,United Kingdom,655.57,771
351,vuxUJIf,Tajikistan,4872.26,922
352,LMwD,Romania,1536.64,274
353,Q RJAHTL,Trinidad and Tobago,4521.26,529
354,OWIA,Jamaica,3601.3,764
355,VerXip,Lithuania,8408.21,553
356,zAdHa,Pakistan,1295.78,798
357,VfkWOryk,Aruba,4696.14,475
358,dqMATE,Holy See (Vatican City State),9899.82,820
359,utgCvwK,United States,7288.78,745
360,WAUkSBSx,Yemen,1567.43,855
361,YyuII,Barbados,5714.35,133
362,Bur,Burundi,8630.09,49
363,VKaMyBItr,Saint Pierre and Miquelon,9038.28,487
364,SYQm,"Macedonia, The Former Yugoslav Republic of",6645.19,893
365,lGjN,"Palestinian Territory, Occupied",1718.75,69
366,MpGI,American Samoa,2934.82,744
367,TnKNt,Indonesia,5827.57,601
368,MupjlKtpj,Lithuania,5118.4,719
369,XT,Belgium,197.68,360
370,zKziZ,"Micronesia, Federated States of",7416.95,984
371,GbWc JDlM,Grenada,3422.64,194
372,nYFWiUN,Latvia,3797.9,656
373,mInPWLQ,Saint Kitts and Nevis,5153.67,49
374,gJY,Somalia,9892.6,256
375,sNozzhUKE,Palau,3609.13,464
376,ZPuja,Greenland,7185.26,432
377,ALmRz,Indonesia,5567.71,503
378,aED,Christmas Island,6329.06,109
379,Qe,Antigua and Barbuda,7492.05,376
380,qaVzl,Hong Kong,210.59,982
381,Kdj,Cameroon,2886.96,820
382,DlIiMY,Liberia,583.16,37
383,bUvhaNHZJO,Tokelau,5706.05,897
384,VKYnkUlyq,Bosnia and Herzegovina,7881.54,350
385,kzrjt,Ukraine,4080.24,283
386,aR,Anguilla,423.13,782
387,zk,Sierra Leone,2168.48,552
388,HKQzgjwn,Australia,6151.81,255
389,cdrpA,Niger,7150.65,396
390,cRKyAhnbIR,Tunisia,4340.72,19
391,GahNVIGz,Chad,9376.42,962
392,OnLpSpU,Austria,2597.24,855
393,yWQqaDj,Gabon,2072.07,595
394,CTWTO,Tajikistan,5473.37,193
395,lUDCOVd,Serbia and Montenegro,293.94,353
396,"lK ",Saint Vincent and the Grenadines,722.17,967
397,IGnouGApD,Syrian Arab Republic,8584.49,256
398,ukZhTlIIH,Mongolia,7248.91,740
399,jCfD,Philippines,3664.85,763
400,OvsWgDtIIe,Faroe Islands,8384.43,471
401,pGBBI,"Taiwan, Province of China",4353.81,810
402,rHzY,Saint Helena,3640.82,20
403,AGYZFFzdkd,"Korea, Democratic People""S Republic of",6308.82,697
404,zAOYlSqLHW,Niue,2555.87,101
405,qYQ,Peru,309.92,134
406,hjljhQ,Portugal,7493.34,4
407,A lO,Angola,574.79,959
408,DjryoBwnNL,Cape Verde,5737.68,111
409,seK,Dominican Republic,8983.28,539
410,xlMTeIFb,Singapore,9385.06,884
411,FGdVS,Ethiopia,2736.02,455
412,uQPni,RWANDA,4727.35,496
413,llMos,Cook Islands,3314.91,88
414,mIaz,Japan,1399.69,834
415,SkVhHqwV,Burundi,8681.14,308
416,ezzlzYb,Kazakhstan,854.75,797
417,SeiOdJWeq,Niue,7849.1,91
418,GpNvhhG,Canada,2538.11,896
419,ctktX,French Guiana,223.01,468
420,ZZ,Christmas Island,2446.94,840
421,WlaHpSOf,Israel,6097.02,60
422,sAFl,Estonia,3071.85,148
423,DVsz,United States,8286.21,432
424,hLdhHgx,Liberia,6026.71,44
425,XvzMh,Ghana,2495.43,46
426,jdIrkPuxfS,American Samoa,4394.45,80
427,mSp KacORa,Armenia,3490.55,911
428,un,Dominica,7453.86,782
429,HQ,Anguilla,3504.32,1
430,kYFruPEnU,Norfolk Island,949.49,329
431,ZNmDnKIQ,Singapore,8820.2,507
432,oihFgUaMOj,French Southern Territories,6560.2,276
433,dhW,Haiti,6220.95,162
434,KsmOHsE,Sri Lanka,4438.55,338
435,Jk,South Georgia and the South Sandwich Islands,191.88,910
436,eOopROKidc,Madagascar,2006.23,46
437,kQA,Oman,7976.11,201
438,zvTax,Georgia,4705.21,54
439,eSPVcUruZ,Syrian Arab Republic,9092.76,456
440,WUuolXQ,Uruguay,2464.99,555
441,Lm BGFrS t,Saint Kitts and Nevis,8791.7,174
442,koloJMiN,Thailand,9005.74,705
443,dxtBP,Sierra Leone,7085.45,129
444,XrLFJ,Malaysia,4826.19,528
445,"qEldLz ",Pitcairn,7978.89,480
446,ziCfXzPNI,United States,7902.2,870
447,baGNXZk,United States Minor Outlying Islands,744.13,725
448,NAtpMIciv,Comoros,1167.93,994
449,Yy,Venezuela,3003.36,171
450,RFZ,Hungary,822.14,586
451,em,Holy See (Vatican City State),9206.59,539
452,GS cnh h,"Congo, The Democratic Republic of the",8025.87,796
453,GULrhJLPd,Afghanistan,9640.72,822
454,lqIBDt,Israel,89.56,677
455,vEbPA,"Lao People""S Democratic Republic",6847.43,953
456,gqadoYciX,Slovenia,432.47,934
457,leDkBxM Ri,Austria,7970.68,818
458,hWE,Malta,694.65,547
459,zUPgrc,South Africa,1969.84,620
460,qZuvnS,"Micronesia, Federated States of",9820.71,323
461,jKiuw,Guinea,4321.5,902
462,lQIXijleF,Northern Mariana Islands,7754.2,564
463,qPnLryRcE,Turkmenistan,8161.88,989
464,XZYCd,Tokelau,3139.01,847
465,HOrGFWW,Turks and Caicos Islands,3115.87,553
466,vEEwvj,South Georgia and the South Sandwich Islands,5405.8,707
467," RrdScsRj",French Polynesia,3171.78,681
468,T UaqnbsfY,"Virgin Islands, U.S.",8129.83,783
469,fU,Croatia,9406.07,337
470,XUILrO,Congo,2960.69,387
471,uwB wmxHN,Poland,1198.86,112
472,phjtZYwLS,Egypt,1359.78,720
473," VFW",Barbados,862.56,943
474,rkyuXLVMY,Latvia,9837.38,445
475,kooFqtU,Madagascar,4935.22,456
476,tkWPpQoHG,Belgium,2534.63,90
477,sNxRq,"Moldova, Republic of",7856.09,681
478,lWOFtTb,Mauritania,603.77,583
479,aRl,Guinea-Bissau,4531.04,882
480,qjjUIgu,Albania,6593.59,91
481,Eo,Saint Pierre and Miquelon,4932.61,606
482,DUwmZ,Kyrgyzstan,8849.76,168
483,Yg CZpQ,Japan,8802.71,369
484,hde,Togo,4518.61,888
485,E NlJBJ,Saudi Arabia,7446.22,310
486,VXYP,Germany,8262.51,256
487,xcKvHPYF,South Georgia and the South Sandwich Islands,6454.72,240
488,paHied,Syrian Arab Republic,3777.54,310
489,KWufSJjLV,Denmark,6262.73,726
490,kncAZxPZIV,Algeria,7407.14,599
491,rqmxbzt,Sierra Leone,9519.77,995
492,Ya,Malaysia,4057.78,952
493,kgNl N,Cocos (Keeling) Islands,8156.61,836
494,KaYLjdzwU,Qatar,1841.41,20
495,up,Bermuda,1745.44,252
496,CQU,Paraguay,6697.08,651
497,SFDSXbLs,Barbados,7822.88,134
498,WoOohpee,"Tanzania, United Republic of",540.67,163
499,LKJwAU,Tokelau,4648.81,703
500,rm,Tunisia,514.51,876
501,EsvoUKxp,Guadeloupe,5160.89,858
502,YfKeUO,Qatar,2177.74,974
503,oVFwl,South Africa,7255.97,859
504,sLrRsC,Cayman Islands,6224.14,719
505,rzApjvvN,United Arab Emirates,2082.07,993
506,SPxq,Western Sahara,9802.99,99
507,KczPfEt,"Iran, Islamic Republic Of",6912.89,584
508,Oxu,Swaziland,728.21,862
509,pLxyzoU,Lithuania,5098.29,230
510,oMW,"Moldova, Republic of",1006.17,624
511,MkHBDl,Marshall Islands,1411.33,857
512,sXjeoMnU,Tajikistan,3720.35,214
513,MkvQjvgqqp,Paraguay,4971.36,42
514,uh,Latvia,7416.25,973
515,"lQVRiFD ","Moldova, Republic of",3586.08,466
516,"uarPud ",Mexico,6076.22,401
517,xQGVeVadZj,AndorrA,772.16,309
518,YNBa yy,Turkey,3252.74,594
519,oKtfV,Algeria,2183.09,983
520,PtYYnwEfy,San Marino,1150.49,241
521,gbcS,Finland,272.88,486
522,fpNA,Philippines,2427.62,702
523,bbvyKQpR,Brunei Darussalam,6705.22,599
524,sw,Mali,6063.03,167
525,hK,Suriname,8546.59,195
526,t ZR,Isle of Man,3396.73,781
527,u zYs,RWANDA,4207.99,429
528,VX,"Lao People""S Democratic Republic",7531.84,91
529,vDNN,Ecuador,1945.42,278
530,FKpxfsT,New Zealand,8181.4,133
531,FKja,South Africa,5133.64,612
532,GMEQSNs,Tajikistan,1167.03,181
533,noDXA,Ethiopia,944.15,186
534,VuIpoQ,Jersey,5017.58,793
535,PJKO,"Moldova, Republic of",5103.28,712
536,JJAKKxRs,"Iran, Islamic Republic Of",5072.2,631
537,tvlkRhes,Belarus,6373.45,169
538,SJ,Turkey,5987.79,546
539,Fiq,Colombia,3821.25,158
540,WQOK,Austria,3653.28,890
541,YVF,Albania,4884.16,93
542,BgVEQWKF,Jersey,1672.03,956
543,ZXq,Kuwait,9008.32,20
544,fiZpZM,South Georgia and the South Sandwich Islands,7759.65,891
545,DGyek,Cyprus,6308.95,67
546,rJHFDv,Hungary,2374.65,87
547,popwhLAMo,Lesotho,1532.97,846
548,OZJ,Oman,7718.86,298
549,"sbJF ZgU ",Niue,685.66,696
550,KtASmarET,British Indian Ocean Territory,3757.27,52
551,GDdIrLFv,Portugal,7324.34,715
552,lD,Malaysia,1417.13,226
553,teYfIwe,Gibraltar,279.11,798
554,rQIiE,Mozambique,5274.25,190
555,imQfFww,Bahrain,9592.12,629
556,hSldvgwXnb,Djibouti,3924.18,819
557,zT,Gambia,6562.62,564
558,ZlroUPziEQ,Bosnia and Herzegovina,4875.83,80
559,GFTBmWfW,Brazil,7011.18,311
560,rhWPixzNb,Israel,5724.51,693
561,kQAHpRLs,Kiribati,8837.28,776
562,DMGYBQEDF,Saint Helena,2063.97,952
563,JLIpuw,Antigua and Barbuda,3709.91,30
564,SWQ,Tunisia,2442.5,180
565,VKdfCdubGt,French Polynesia,2329.04,534
566,REW,Tuvalu,8367.12,346
567,hFQkA,Argentina,8416.29,666
568,gJIMxfoS,Mexico,7714.1,564
569,yq PvYmYXd,Netherlands Antilles,4736.32,225
570,QCAblyPE N,Belgium,2518.4,33
571,YKu,Afghanistan,31.7,263
572,rN,Norway,8075.53,538
573,"u ",United Arab Emirates,3056.3,481
574,jQNdUGO,Turkey,2144.12,794
575,nw,New Zealand,7103.37,102
576," m",Barbados,7530.9,901
577,YzYlrGWwdy,Bouvet Island,9400.98,574
578,xtudG,Martinique,5130.28,823
579,uTlvUJT,"Lao People""S Democratic Republic",8878.03,212
580,rzUhodoTIP,Equatorial Guinea,3176.44,718
581,rVF YXbPz,Antigua and Barbuda,9834.68,915
582,UMSIhAAd,Cuba,5158.26,365
583,EyGSnqQAhg,Armenia,7122.08,614
584,ypB,Madagascar,3125.23,85
585,tHl,China,6966.39,666
586,nivnLuR,Hong Kong,2144.78,576
587,LjfIzFLY,France,5283.29,730
588," tB",Malawi,2913.91,140
589,sHJ,Guinea-Bissau,3459.18,148
590,AnKNcOWsAZ,Italy,6197.83,323
591,yVG,Syrian Arab Republic,6990.88,819
592,YMFjfJxeiL,Argentina,9959.97,8
593,IXDyvDJ,Bhutan,863.23,673
594,vsBr,Faroe Islands,6696.46,39
595,xcehWtTOg,Guatemala,9264.97,496
596,"T ",Hungary,2259.98,344
597,todhD B,United Kingdom,7426.64,256
598,GHxg,Hungary,6514.34,657
599,K  ACGTtcN,Nepal,1669.98,57
600,CMlJypJ,Burkina Faso,4800.52,506
601,qMigQRPLcf,Antigua and Barbuda,42.77,303
602,xidvxbhmDR,Papua New Guinea,1070.37,370
603,GJAogQndP,Barbados,1031.12,270
604,kDKjs,Costa Rica,3463.06,271
605,HSc,Cook Islands,3414.4,938
606,LAxtB LGl,Chad,8445.94,445
607,wUaIp,Croatia,4825.95,432
608,Wk,"Virgin Islands, British",1270.69,859
609,pLSRp,Guernsey,7239.14,297
610,rzROSDO,Comoros,6081.37,965
611," LDUIM",El Salvador,2343.85,348
612,zraT,Zimbabwe,9838.19,157
613," oMQGj",Ecuador,2712.35,611
614,FCc,Saint Lucia,4106.83,413
615,sPIwiOugq,Monaco,7937.76,485
616,MRKHLuDIYI,Guyana,7705.61,592
617,gPUUTw,Thailand,786,582
618,fGNPVN,Angola,2210.44,619
619,UvioJKxNSh,Netherlands Antilles,9001.12,953
620,jUwnDhUFM,Kuwait,8543.83,729
621,rmQOhg,Puerto Rico,8332.26,840
622,vnnYDmF,Syrian Arab Republic,6800.25,614
623,GYNHEvXHN,Saint Pierre and Miquelon,3061.65,197
624,UE,Tonga,899.61,108
625,ltBuD,Albania,3426.01,610
626,EK,Chile,9119.67,917
627,Ht,Iceland,1594.08,421
628,"bCYEtCuvZ ",Russian Federation,3630.32,653
629,spNJrGq,Anguilla,3579.46,179
630,hffDiIgmfC,Cambodia,7017.45,632
631,"axDcq ",Poland,2043.68,775
632,xsDSYEY,Madagascar,634.88,703
633,yVqhAjP,Ireland,20.66,698
634,hkn,Belgium,2257.77,576
635,vDZpWtAjc,Maldives,5904.66,349
636,saAHLdC,"Korea, Republic of",5631.21,732
637,OwT,Jersey,3761.66,800
638,"ATOdfzJv ","Korea, Republic of",4744.24,888
639,ipEyAECQg,Marshall Islands,2348.96,48
640," wbL",Philippines,4482.02,24
641,OkTjQRwQ,Anguilla,5568.43,550
642,NKd,Dominican Republic,9587.5,512
643,qKmtCh,Zimbabwe,525.71,114
644,vir,El Salvador,1652.34,374
645,rUH,Portugal,2189.68,980
646,Sevk m,Ireland,8993.11,172
647,ppNymqO,Tokelau,1396.88,594
648,nopsvcBpa,Belarus,3003.5,578
649,YO,Isle of Man,8712.94,297
650,RKZHSA,Mexico,1990.84,12
651,wCTCs,Benin,2720.55,243
652,iNAhJ,Turks and Caicos Islands,6638.01,355
653,Aurc,Antarctica,7289.29,201
654," GBPpCxh",Norfolk Island,9044.93,321
655,EHcVtYWc,Philippines,8449.7,572
656,kiCLRud,Qatar,3713.83,252
657,eQnH,Kyrgyzstan,1020.11,799
658,eRoy,"Iran, Islamic Republic Of",6348.62,15
659,FnEbZeQTo,Sao Tome and Principe,6456.02,742
660,XhjGfZtuP,"Korea, Democratic People""S Republic of",7134.86,994
661,lBAj,Switzerland,2642.73,516
662,jukyzdauYQ,Gambia,816.56,643
663,yEmsUSym,Norfolk Island,8995.38,487
664,NoUQeYVWZI,Bermuda,4743.54,122
665,DNxpeJbtOw,Togo,3396.46,126
666,kQScZUKlic,Guam,9846.64,236
667,wxsMwqksFC,Haiti,5727.69,324
668,aEBbLT,Romania,8173.89,921
669,ta,Norway,1706.46,427
670,rw bez,Svalbard and Jan Mayen,7121.65,632
671,mynFc,Cape Verde,4258.69,110
672,mFvTKL,"Iran, Islamic Republic Of",3329.5,9
673,bHMr,Austria,2042.26,592
674,yQVDukgp,Finland,2510.68,575
675,cKwObTopMI,"Cote D""Ivoire",3664.2,507
676," XvXePZGNE",Svalbard and Jan Mayen,3492.4,871
677,uRvUR,Saint Lucia,3376.44,370
678,gp,Botswana,2666.57,451
679,dMphessUJ,Morocco,7918.5,647
680,ygIJ,Brunei Darussalam,1492.75,388
681,mBHdpNHOx,Sweden,3563.98,459
682,y GrGaPd,Bangladesh,1803.22,545
683,qnH elQzD,Armenia,189.11,397
684,lJfgSTe,Myanmar,4815.53,418
685,BHJZhZ,Åland Islands,3099.59,921
686,ZrWpr,Iceland,3114.53,890
687,JlaQw,Mauritius,7601.5,191
688,Bnh,South Africa,8493.98,178
689,po,Israel,4801.79,545
690,bHbQUInCZ,Myanmar,4800.36,788
691,Lc,Turks and Caicos Islands,1826.94,77
692,Thszt X,"Macedonia, The Former Yugoslav Republic of",9828.25,572
693,"MyZNVblxH ",Ireland,2507.73,276
694,Lcch,Netherlands,7369.93,701
695,Dc,Kyrgyzstan,6696.6,354
696,LpBZqPDbV,Tunisia,9595.99,812
697,WNVqALda c,Turkey,7661.41,482
698,DylxEtbkkk,Svalbard and Jan Mayen,6621.47,420
699,JfYP,Thailand,8410.09,883
700,VLWBEXPKT,France,5757.35,992
701,VpthOZQ,Turks and Caicos Islands,4849.76,301
702,Ls,Uganda,6964.09,144
703,LEQvt,French Southern Territories,3251.89,531
704,YpdyxaOzh,"Tanzania, United Republic of",4701.08,495
705,ZRRg,Gabon,2584.16,117
706,AFxGUGAEOm,Uzbekistan,6629.05,374
707,wajq,Svalbard and Jan Mayen,6801.38,250
708,bGuUGR i,Bermuda,8279.74,16
709,jdIUtjQ,American Samoa,5295.59,403
710,PyHU,China,6554.36,131
711,JcfIV,Turkmenistan,4307.08,919
712,wfrntMHf,Gibraltar,8948.54,196
713," Tanip",Tonga,1073.8,162
714,ahod,United Arab Emirates,6567.67,591
715,pgIq,Thailand,9158.39,796
